#group,false,false,true,true,false,true,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,agent,rssi,x,y
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.717Z,estpos,agent_2,-60.5,28.18692790236709,49.277452719339124
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.718Z,estpos,agent_2,-53.5,28.695340714254122,48.35840200443141
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.719Z,estpos,agent_2,-59,29.491116268315448,48.04046542601991
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.72Z,estpos,agent_2,-55.5,29.066051035936454,48.38023201867055
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.823Z,estpos,agent_1,-55.5,-53.84323576785863,83.56502746209829
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.824Z,estpos,agent_1,-53.5,1.3198986432165707,25.742899015582747
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.825Z,estpos,agent_2,-59,29.91550224594788,43.28151920714214
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.826Z,estpos,agent_2,-58,31.616397947267785,41.06813299375991
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.827Z,estpos,agent_2,-61.5,31.7890517731947,43.50000278121196
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.828Z,estpos,agent_2,-56.5,32.2775115883696,43.009127053564974
