#group,false,false,true,true,false,true,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,double,double,double
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,agent,rssi,x,y
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:29.72Z,rawpos,agent_2,-55.5,22.801660822524088,52.240638048693185
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.823Z,rawpos,agent_2,-55,34.5731641473025,41.48127675040484
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.824Z,rawpos,agent_1,-53.5,1.0661122230384457,20.972920748619828
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.825Z,rawpos,agent_1,-58,4.667908787441817,21.499084342178936
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.826Z,rawpos,agent_2,-58,32.343735326871666,39.43200204282397
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.827Z,rawpos,agent_2,-61.5,27.740840475606788,54.327210214651515
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.828Z,rawpos,agent_2,-56.5,30.671718452215373,46.85344904260551
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.829Z,rawpos,agent_2,-59.5,36.00680309192535,40.243137689540504
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.83Z,rawpos,agent_1,-55.5,-0.5753630460424463,20.992116552774014
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.831Z,rawpos,agent_2,-57.5,29.991884197969547,38.749024274884455
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.832Z,rawpos,agent_1,-53,0.23368699964991058,12.997899460535715
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.833Z,rawpos,agent_2,-58.5,33.42854410330296,43.67530697240179
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:33.834Z,rawpos,agent_2,-55,35.99482371627087,44.19697575213245
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.844Z,rawpos,agent_1,-52,2.2120332752534897,19.877296314870676
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.845Z,rawpos,agent_2,-57,37.54529922676479,42.887649807056285
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.846Z,rawpos,agent_2,-56,28.43898945155572,48.24130884391822
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.847Z,rawpos,agent_2,-61.5,36.75958611922695,44.86349104052355
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.848Z,rawpos,agent_2,-55,30.39955112660544,43.41505834731657
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.849Z,rawpos,agent_1,-52.5,0.8391053916331959,20.983229068514028
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.85Z,rawpos,agent_2,-54,33.202999878178346,38.711248999350154
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.851Z,rawpos,agent_2,-54,32.9643104350143,41.501255855022116
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.852Z,rawpos,agent_1,-56,2.7611405433797813,21.826041851414665
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.853Z,rawpos,agent_1,-56,3.43576153163214,16.649190451723374
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.854Z,rawpos,agent_1,-56,4.9825888884415175,21.428341232320786
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.855Z,rawpos,agent_2,-58.5,35.87617076587945,42.99884150971346
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.856Z,rawpos,agent_1,-54,0.9483217292728537,17.97500169395789
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.857Z,rawpos,agent_2,-58,28.703506792892856,45.73957474431035
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.858Z,rawpos,agent_2,-55.5,22.975024755977795,48.868683606807
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.859Z,rawpos,agent_1,-51.5,0.8500920691568021,20.982786837642816
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.86Z,rawpos,agent_2,-57,34.23819243750523,39.137529030488885
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.861Z,rawpos,agent_2,-55.5,27.709566355677957,44.00204463863333
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.862Z,rawpos,agent_2,-57.5,30.834548239702137,36.78628324326177
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:39.863Z,rawpos,agent_2,-56.5,25.27689233418183,48.847504684744955
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:42.089Z,rawpos,agent_2,-60.5,31.00569505678058,52.532341219918344
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:42.09Z,rawpos,agent_2,-59,29.42983796113893,44.07816508863664
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:42.091Z,rawpos,agent_1,-54,1.9845864133522377,22.91421865933765
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:42.092Z,rawpos,agent_2,-60,43.25484463442621,41.58146721379189
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:42.093Z,rawpos,agent_1,-56,4.057296801410363,18.561744063133325
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:42.094Z,rawpos,agent_2,-53.5,29.639354421587065,45.138771244591354
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.081Z,rawpos,agent_1,-53.5,2.0558507357449365,19.894056342343486
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.082Z,rawpos,agent_2,-54,27.46987239535265,39.36249624430649
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.083Z,rawpos,agent_1,-54,1.7257273159584676,19.925407529858823
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.084Z,rawpos,agent_2,-60.5,32.95993030258123,47.7246581386288
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.085Z,rawpos,agent_1,-56,1.450838449685417,19.94730728175897
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.086Z,rawpos,agent_2,-60,34.80008288969442,46.399937832613496
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.087Z,rawpos,agent_1,-55.5,6.710671413790905,20.95153667815632
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.088Z,rawpos,agent_1,-56,-2.6794400699241923,22.843392937820877
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.089Z,rawpos,agent_2,-55.5,30.118077430997626,34.76925958171142
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:46.09Z,rawpos,agent_2,-61,23.09823891603979,51.014423048560936
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.223Z,rawpos,agent_2,-58,35.13465123366833,41.00678337407713
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.224Z,rawpos,agent_1,-55.5,5.731531046207975,22.274414736786106
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.225Z,rawpos,agent_2,-56,28.724756740283496,48.07170009695452
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.226Z,rawpos,agent_1,-55.5,-4.918987881457165,21.443030527937918
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.227Z,rawpos,agent_1,-56.5,3.096747579831254,20.770415364811782
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.228Z,rawpos,agent_2,-58,36.25003562805088,42.684129567850405
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.229Z,rawpos,agent_1,-53.5,7.445008345920818,20.70197697634623
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.23Z,rawpos,agent_2,-59.5,39.590352341658736,38.17858040136271
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.231Z,rawpos,agent_2,-55.5,27.77913127623804,45.136679824035944
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.232Z,rawpos,agent_1,-56,2.7001800497543265,21.833667298438638
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.233Z,rawpos,agent_1,-51.5,4.394822027463318,20.53498330525066
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.234Z,rawpos,agent_2,-56.5,29.765289919502,45.05582665991151
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.235Z,rawpos,agent_2,-58,26.06954504061022,51.810991318209645
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:50.236Z,rawpos,agent_2,-55.5,31.139389024405627,39.119540528829404
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.401Z,rawpos,agent_1,-54,-0.1497480934523594,21.999490346562744
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.402Z,rawpos,agent_1,-51.5,2.303444846786296,21.879080004374355
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.403Z,rawpos,agent_1,-58,2.7991806367600405,20.812606462497378
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.404Z,rawpos,agent_1,-54,1.2434077586045398,21.96483410239745
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.405Z,rawpos,agent_1,-53.5,2.058914559162349,21.90344426883748
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.406Z,rawpos,agent_2,-59,33.278004846276694,46.27714763737265
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.407Z,rawpos,agent_2,-58,29.713217626271025,46.28309300699184
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.408Z,rawpos,agent_1,-55.5,3.350509480948206,21.743368787243533
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.409Z,rawpos,agent_2,-58,40.760444552012665,33.87604108986618
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.41Z,rawpos,agent_2,-58.5,46.3107941734821,38.14853002438464
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.411Z,rawpos,agent_2,-59.5,23.283917105489756,52.02748508456546
,,0,2025-08-19T14:36:19.875Z,2025-08-19T14:40:19.875Z,2025-08-19T14:36:56.412Z,rawpos,agent_2,-62.5,40.25210279252544,45.83413815901817
